﻿hour,weekday_type,avg_trip_count,avg_passenger_km,avg_fare,avg_revenue_hour,vacancy_ratio,avg_vacant_time,fare_rule_reference,status,confidence,source_url,note
18,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
19,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
20,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
21,weekday,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
22,weekday,,,,,,,심야20%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
23,weekday,,,,,,,심야40%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
0,weekend,,,,,,,심야40%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
1,weekend,,,,,,,심야40%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
2,weekend,,,,,,,심야20%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
3,weekend,,,,,,,심야20%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
4,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
5,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
6,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
7,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
8,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
9,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
10,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
11,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
12,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
13,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
14,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
15,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
16,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
17,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
18,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
19,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
20,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
21,weekend,,,,,,,주간,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
22,weekend,,,,,,,심야20%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
23,weekend,,,,,,,심야40%,정보공개대기,,https://news.seoul.go.kr/traffic/archives/510682,운임규칙 확보; 실제 건수·거리·매출·공차율은 운행자료 필요
